"Font File","Plane","Block range","Block name","Code points[a]","Assigned characters","Scripts[b][c][d][e][f]","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+18B0..U+18FF","Unified Canadian Aboriginal Syllabics Extended","80","70","Canadian Aboriginal","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+1900..U+194F","Limbu","80","68","Limbu","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+1950..U+197F","Tai Le","48","35","Tai Le","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+1980..U+19DF","New Tai Lue","96","83","New Tai Lue","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+19E0..U+19FF","Khmer Symbols","32","32","Khmer","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+1A00..U+1A1F","Buginese","32","30","Buginese","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+1A20..U+1AAF","Tai Tham","144","127","Tai Tham","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+1AB0..U+1AFF","Combining Diacritical Marks Extended","80","17","Inherited","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+1B00..U+1B7F","Balinese","128","121","Balinese","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+1B80..U+1BBF","Sundanese","64","64","Sundanese","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+1BC0..U+1BFF","Batak","64","56","Batak","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+1C00..U+1C4F","Lepcha","80","74","Lepcha","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+1C50..U+1C7F","Ol Chiki","48","48","Ol Chiki","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+1C80..U+1C8F","Cyrillic Extended-C","16","9","Cyrillic","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+1C90..U+1CBF","Georgian Extended","48","46","Georgian","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+1CC0..U+1CCF","Sundanese Supplement","16","8","Sundanese","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+1CD0..U+1CFF","Vedic Extensions","48","43","Common (16 characters), Inherited (27 characters)","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+1D00..U+1D7F","Phonetic Extensions","128","128","Cyrillic (2 characters), Greek (15 characters), Latin (111 characters)","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+1D80..U+1DBF","Phonetic Extensions Supplement","64","64","Greek (1 character), Latin (63 characters)","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+1DC0..U+1DFF","Combining Diacritical Marks Supplement","64","63","Inherited","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+1E00..U+1EFF","Latin Extended Additional","256","256","Latin","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+1F00..U+1FFF","Greek Extended","256","233","Greek","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+2000..U+206F","General Punctuation","112","111","Common (109 characters), Inherited (2 characters)","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+2070..U+209F","Superscripts and Subscripts","48","42","Latin (15 characters), Common (27 characters)","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+20A0..U+20CF","Currency Symbols","48","32","Common","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+20D0..U+20FF","Combining Diacritical Marks for Symbols","48","33","Inherited","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+2100..U+214F","Letterlike Symbols","80","80","Greek (1 character), Latin (4 characters), Common (75 characters)","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+2150..U+218F","Number Forms","64","60","Latin (41 characters), Common (19 characters)","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+2190..U+21FF","Arrows","112","112","Common","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+2200..U+22FF","Mathematical Operators","256","256","Common","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+2300..U+23FF","Miscellaneous Technical","256","256","Common","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+2400..U+243F","Control Pictures","64","39","Common","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+2440..U+245F","Optical Character Recognition","32","11","Common","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+2460..U+24FF","Enclosed Alphanumerics","160","160","Common","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+2500..U+257F","Box Drawing","128","128","Common","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+2580..U+259F","Block Elements","32","32","Common","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+25A0..U+25FF","Geometric Shapes","96","96","Common","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+2600..U+26FF","Miscellaneous Symbols","256","256","Common","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+2700..U+27BF","Dingbats","192","192","Common","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+27C0..U+27EF","Miscellaneous Mathematical Symbols-A","48","48","Common","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+27F0..U+27FF","Supplemental Arrows-A","16","16","Common","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+2800..U+28FF","Braille Patterns","256","256","Braille","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+2900..U+297F","Supplemental Arrows-B","128","128","Common","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+2980..U+29FF","Miscellaneous Mathematical Symbols-B","128","128","Common","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+2A00..U+2AFF","Supplemental Mathematical Operators","256","256","Common","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+2B00..U+2BFF","Miscellaneous Symbols and Arrows","256","253","Common","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+2C00..U+2C5F","Glagolitic","96","94","Glagolitic","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+2C60..U+2C7F","Latin Extended-C","32","32","Latin","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+2C80..U+2CFF","Coptic","128","123","Coptic","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+2D00..U+2D2F","Georgian Supplement","48","40","Georgian","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+2D30..U+2D7F","Tifinagh","80","59","Tifinagh","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+2D80..U+2DDF","Ethiopic Extended","96","79","Ethiopic","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+2DE0..U+2DFF","Cyrillic Extended-A","32","32","Cyrillic","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+2E00..U+2E7F","Supplemental Punctuation","128","83","Common","","","","","","","","","","","","","","","","","","","",""
"A","0 BMP","U+2E80..U+2EFF","CJK Radicals Supplement","128","115","Han","","","","","","","","","","","","","","","","","","","",""
"A","0 BMP","U+2F00..U+2FDF","Kangxi Radicals","224","214","Han","","","","","","","","","","","","","","","","","","","",""
"A","0 BMP","U+2FF0..U+2FFF","Ideographic Description Characters","16","12","Common","","","","","","","","","","","","","","","","","","","",""
"A","0 BMP","U+3000..U+303F","CJK Symbols and Punctuation","64","64","Han (15 characters), Hangul (2 characters), Common (43 characters), Inherited (4 characters)","","","","","","","","","","","","","","","","","","","",""
"A","0 BMP","U+3040..U+309F","Hiragana","96","93","Hiragana (89 characters), Common (2 characters), Inherited (2 characters)","","","","","","","","","","","","","","","","","","","",""
"A","0 BMP","U+30A0..U+30FF","Katakana","96","96","Katakana (93 characters), Common (3 characters)","","","","","","","","","","","","","","","","","","","",""
"A","0 BMP","U+3100..U+312F","Bopomofo","48","43","Bopomofo","","","","","","","","","","","","","","","","","","","",""
"A","0 BMP","U+3130..U+318F","Hangul Compatibility Jamo","96","94","Hangul","","","","","","","","","","","","","","","","","","","",""
"A","0 BMP","U+3190..U+319F","Kanbun","16","16","Common","","","","","","","","","","","","","","","","","","","",""
"A","0 BMP","U+31A0..U+31BF","Bopomofo Extended","32","32","Bopomofo","","","","","","","","","","","","","","","","","","","",""
"A","0 BMP","U+31C0..U+31EF","CJK Strokes","48","36","Common","","","","","","","","","","","","","","","","","","","",""
"A","0 BMP","U+31F0..U+31FF","Katakana Phonetic Extensions","16","16","Katakana","","","","","","","","","","","","","","","","","","","",""
"A","0 BMP","U+3200..U+32FF","Enclosed CJK Letters and Months","256","255","Hangul (62 characters), Katakana (47 characters), Common (146 characters)","","","","","","","","","","","","","","","","","","","",""
"A","0 BMP","U+3300..U+33FF","CJK Compatibility","256","256","Katakana (88 characters), Common (168 characters)","","","","","","","","","","","","","","","","","","","",""
"A","0 BMP","U+3400..U+4DBF","CJK Unified Ideographs Extension A","6,592","6,592","Han","","","","","","","","","","","","","","","","","","","",""
"A","0 BMP","U+4DC0..U+4DFF","Yijing Hexagram Symbols","64","64","Common","","","","","","","","","","","","","","","","","","","",""
"A","0 BMP","U+4E00..U+9FFF","CJK Unified Ideographs","20,992","20,989","Han","","","","","","","","","","","","","","","","","","","",""
"A","0 BMP","U+A000..U+A48F","Yi Syllables","1,168","1,165","Yi","","","","","","","","","","","","","","","","","","","",""
"A","0 BMP","U+A490..U+A4CF","Yi Radicals","64","55","Yi","","","","","","","","","","","","","","","","","","","",""
"A","0 BMP","U+A4D0..U+A4FF","Lisu","48","48","Lisu","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+A500..U+A63F","Vai","320","300","Vai","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+A640..U+A69F","Cyrillic Extended-B","96","96","Cyrillic","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+A6A0..U+A6FF","Bamum","96","88","Bamum","","","","","","","","","","","","","","","","","","","",""
"A","0 BMP","U+A700..U+A71F","Modifier Tone Letters","32","32","Common","","","","","","","","","","","","","","","","","","","",""
