"Font File","Plane","Block range","Block name","Code points[a]","Assigned characters","Scripts[b][c][d][e][f]","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+111E0..U+111FF","Sinhala Archaic Numbers","32","20","Sinhala","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+11200..U+1124F","Khojki","80","62","Khojki","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+11280..U+112AF","Multani","48","38","Multani","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+112B0..U+112FF","Khudawadi","80","69","Khudawadi","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+11300..U+1137F","Grantha","128","86","Grantha (85 characters), Inherited (1 character)","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+11400..U+1147F","Newa","128","97","Newa","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+11480..U+114DF","Tirhuta","96","82","Tirhuta","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+11580..U+115FF","Siddham","128","92","Siddham","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+11600..U+1165F","Modi","96","79","Modi","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+11660..U+1167F","Mongolian Supplement","32","13","Mongolian","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+11680..U+116CF","Takri","80","67","Takri","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+11700..U+1173F","Ahom","64","58","Ahom","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+11800..U+1184F","Dogra","80","60","Dogra","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+118A0..U+118FF","Warang Citi","96","84","Warang Citi","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+11900..U+1195F","Dives Akuru","96","72","Dives Akuru","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+119A0..U+119FF","Nandinagari","96","65","Nandinagari","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+11A00..U+11A4F","Zanabazar Square","80","72","Zanabazar Square","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+11A50..U+11AAF","Soyombo","96","83","Soyombo","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+11AC0..U+11AFF","Pau Cin Hau","64","57","Pau Cin Hau","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+11C00..U+11C6F","Bhaiksuki","112","97","Bhaiksuki","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+11C70..U+11CBF","Marchen","80","68","Marchen","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+11D00..U+11D5F","Masaram Gondi","96","75","Masaram Gondi","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+11D60..U+11DAF","Gunjala Gondi","80","63","Gunjala Gondi","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+11EE0..U+11EFF","Makasar","32","25","Makasar","","","","","","","","","","","","","","","","","","","",""
"A","1 SMP","U+11FB0..U+11FBF","Lisu Supplement","16","1","Lisu","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+11FC0..U+11FFF","Tamil Supplement","64","51","Tamil","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+12000..U+123FF","Cuneiform","1,024","922","Cuneiform","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+12400..U+1247F","Cuneiform Numbers and Punctuation","128","116","Cuneiform","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+12480..U+1254F","Early Dynastic Cuneiform","208","196","Cuneiform","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+13000..U+1342F","Egyptian Hieroglyphs","1,072","1,071","Egyptian Hieroglyphs","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+13430..U+1343F","Egyptian Hieroglyph Format Controls","16","9","Egyptian Hieroglyphs","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+14400..U+1467F","Anatolian Hieroglyphs","640","583","Anatolian Hieroglyphs","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+16800..U+16A3F","Bamum Supplement","576","569","Bamum","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+16A40..U+16A6F","Mro","48","43","Mro","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+16AD0..U+16AFF","Bassa Vah","48","36","Bassa Vah","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+16B00..U+16B8F","Pahawh Hmong","144","127","Pahawh Hmong","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+16E40..U+16E9F","Medefaidrin","96","91","Medefaidrin","","","","","","","","","","","","","","","","","","","",""
"A","1 SMP","U+16F00..U+16F9F","Miao","160","149","Miao","","","","","","","","","","","","","","","","","","","",""
"A","1 SMP","U+16FE0..U+16FFF","Ideographic Symbols and Punctuation","32","7","Han (2 characters), Khitan Small Script (1 character), Nushu (1 character), Tangut (1 character), Common (2 characters)","","","","","","","","","","","","","","","","","","","",""
"B","1 SMP","U+17000..U+187FF","Tangut","6,144","6,136","Tangut","","","","","","","","","","","","","","","","","","","",""
"B","1 SMP","U+18800..U+18AFF","Tangut Components","768","768","Tangut","","","","","","","","","","","","","","","","","","","",""
"A","1 SMP","U+18B00..U+18CFF","Khitan Small Script","512","470","Khitan small script","","","","","","","","","","","","","","","","","","","",""
"B","1 SMP","U+18D00..U+18D8F","Tangut Supplement","144","9","Tangut","","","","","","","","","","","","","","","","","","","",""
"A","1 SMP","U+1B000..U+1B0FF","Kana Supplement","256","256","Hiragana (255 characters), Katakana (1 character)","","","","","","","","","","","","","","","","","","","",""
"A","1 SMP","U+1B100..U+1B12F","Kana Extended-A","48","31","Hiragana","","","","","","","","","","","","","","","","","","","",""
"A","1 SMP","U+1B130..U+1B16F","Small Kana Extension","64","7","Hiragana (3 characters), Katakana (4 characters)","","","","","","","","","","","","","","","","","","","",""
"A","1 SMP","U+1B170..U+1B2FF","Nushu","400","396","Nüshu","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+1BC00..U+1BC9F","Duployan","160","143","Duployan","","","","","","","","","","","","","","","","","","","",""
"","1 SMP","U+1BCA0..U+1BCAF","Shorthand Format Controls","16","4","Common","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+1D000..U+1D0FF","Byzantine Musical Symbols","256","246","Common","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+1D100..U+1D1FF","Musical Symbols","256","231","Common (209 characters), Inherited (22 characters)","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+1D200..U+1D24F","Ancient Greek Musical Notation","80","70","Greek","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+1D2E0..U+1D2FF","Mayan Numerals","32","20","Common","","","","","","","","","","","","","","","","","","","",""
"A","1 SMP","U+1D300..U+1D35F","Tai Xuan Jing Symbols","96","87","Common","","","","","","","","","","","","","","","","","","","",""
"A","1 SMP","U+1D360..U+1D37F","Counting Rod Numerals","32","25","Common","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+1D400..U+1D7FF","Mathematical Alphanumeric Symbols","1,024","996","Common","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+1D800..U+1DAAF","Sutton SignWriting","688","672","SignWriting","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+1E000..U+1E02F","Glagolitic Supplement","48","38","Glagolitic","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+1E100..U+1E14F","Nyiakeng Puachue Hmong","80","71","Nyiakeng Puachue Hmong","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+1E2C0..U+1E2FF","Wancho","64","59","Wancho","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+1E800..U+1E8DF","Mende Kikakui","224","213","Mende Kikakui","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+1E900..U+1E95F","Adlam","96","88","Adlam","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+1EC70..U+1ECBF","Indic Siyaq Numbers","80","68","Common","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+1ED00..U+1ED4F","Ottoman Siyaq Numbers","80","61","Common","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+1EE00..U+1EEFF","Arabic Mathematical Alphabetic Symbols","256","143","Arabic","","","","","","","","","","","","","","","","","","","",""
"A","1 SMP","U+1F000..U+1F02F","Mahjong Tiles","48","44","Common","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+1F030..U+1F09F","Domino Tiles","112","100","Common","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+1F0A0..U+1F0FF","Playing Cards","96","82","Common","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+1F100..U+1F1FF","Enclosed Alphanumeric Supplement","256","200","Common","","","","","","","","","","","","","","","","","","","",""
"A","1 SMP","U+1F200..U+1F2FF","Enclosed Ideographic Supplement","256","64","Hiragana (1 character), Common (63 characters)","","","","","","","","","","","","","","","","","","","",""
"A","1 SMP","U+1F300..U+1F5FF","Miscellaneous Symbols and Pictographs","768","768","Common","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+1F600..U+1F64F","Emoticons","80","80","Common","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+1F650..U+1F67F","Ornamental Dingbats","48","48","Common","","","","","","","","","","","","","","","","","","","",""
"A","1 SMP","U+1F680..U+1F6FF","Transport and Map Symbols","128","114","Common","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+1F700..U+1F77F","Alchemical Symbols","128","116","Common","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+1F780..U+1F7FF","Geometric Shapes Extended","128","101","Common","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+1F800..U+1F8FF","Supplemental Arrows-C","256","150","Common","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+1F900..U+1F9FF","Supplemental Symbols and Pictographs","256","254","Common","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+1FA00..U+1FA6F","Chess Symbols","112","98","Common","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+1FA70..U+1FAFF","Symbols and Pictographs Extended-A","144","57","Common","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+1FB00..U+1FBFF","Symbols for Legacy Computing","256","212","Common","","","","","","","","","","","","","","","","","","","",""
"B","2 SIP","U+20000..U+2A6DF","CJK Unified Ideographs Extension B","42,720","42,718","Han","","","","","","","","","","","","","","","","","","","",""
"B","2 SIP","U+2A700..U+2B73F","CJK Unified Ideographs Extension C","4,160","4,149","Han","","","","","","","","","","","","","","","","","","","",""
"B","2 SIP","U+2B740..U+2B81F","CJK Unified Ideographs Extension D","224","222","Han","","","","","","","","","","","","","","","","","","","",""
"C","2 SIP","U+2B820..U+2CEAF","CJK Unified Ideographs Extension E","5,776","5,762","Han","","","","","","","","","","","","","","","","","","","",""
"C","2 SIP","U+2CEB0..U+2EBEF","CJK Unified Ideographs Extension F","7,488","7,473","Han","","","","","","","","","","","","","","","","","","","",""
"C","2 SIP","U+2F800..U+2FA1F","CJK Compatibility Ideographs Supplement","544","542","Han","","","","","","","","","","","","","","","","","","","",""
"C","3 TIP","U+30000..U+3134F","CJK Unified Ideographs Extension G","4,944","4,939","Han","","","","","","","","","","","","","","","","","","","",""
"","14 SSP","U+E0000..U+E007F","Tags","128","97","Common","","","","","","","","","","","","","","","","","","","",""
"","14 SSP","U+E0100..U+E01EF","Variation Selectors Supplement","240","240","Inherited","","","","","","","","","","","","","","","","","","","",""
"","15 PUA-A","U+F0000..U+FFFFF","Supplementary Private Use Area-A","65,536","65,534","Unknown","","","","","","","","","","","","","","","","","","","",""
"","16 PUA-B","U+100000..U+10FFFF","Supplementary Private Use Area-B","65,536","65,534","Unknown","","","","","","","","","","","","","","","","","","","",""
